"gene","baseMean","log2FoldChange","shrunkLFC","lfcSE","padj","effectTestPadj","svalue","maxCook","array_logFC","array_FDR_standard","array_FDR_robust","array_FDR_treat","array_mean","array_sd","array_min","array_max","direction_same","platform_difference","mean_effect","practical_selected","modern_strong","loo_medianLFC","loo_sdLFC","loo_minLFC","loo_maxLFC","loo_propFDR05","loo_medianRank","loo_worstRank","edgeR_logFC","edgeR_FDR","edgeR_rank","rank_DESeq2_effect","rank_DESeq2_FDR","rank_array_effect","rank_array_FDR","rank_product","rank_product_rank","score_effect","score_significance","score_precision","score_abundance","score_array_effect","score_array_significance","score_platform_agreement","score_loo","score_edgeR","stat_score","P_top5_weights","P_top10_weights","combined_robustness"
"CPAR2_106960",23646.4342971288,2.04741827361229,2.03263897346004,0.129930163125639,4.38678292501912e-53,1.98309994120412e-13,1.45532607982026e-16,0.129002793323127,2.022747781625,0.000157335056947283,0.000179720457170792,0.0069909457703667,2.022747781625,0.348545309284467,1.54057653525,2.2934184715,TRUE,0.0098911918350395,2.02769337754252,TRUE,TRUE,2.04120140603601,0.0363412004024208,2.00694236666943,2.10948818993588,1,213.5,241,2.01964470762655,1.09094608703004e-05,186,128,8,86,174.5,77.8433211583492,39,0.978054259547261,0.998789555593982,0.955590115776741,0.995334370139969,0.984262173671542,0.967783743751157,0.976485835956304,1,0.996311259441419,0.98362347931982,0.9908,0.9952,0.995389371050344
"CPAR2_808200",3116.37395170616,-1.30411802494645,-1.27954914834403,0.140822200148474,2.44635418058586e-18,0.354927070902757,0.00486766801126279,0.259197148217096,-1.349919750375,6.24904127213422e-05,6.5504218260578e-05,0.04645475965411,-1.349919750375,0.110423431054752,-1.449393882,-1.24390061025,TRUE,0.0703706020309662,-1.31473444935952,FALSE,TRUE,-1.30854945158658,0.0508354672678999,-1.38698096891504,-1.199555653713,1,606.5,699,-1.32945529196125,0.000132217405890207,528,408,48,197,108,185.560297841215,139,0.929669949887679,0.991872730416739,0.914117850354242,0.919993087955763,0.963710423995556,0.980188853915941,0.857063506758008,1,0.986650272264184,0.949251852838679,0.6012,0.835,0.775370878999205
"CPAR2_210890",813.356062210441,0.994234978462339,0.961249665935484,0.154027301092152,2.72278301551736e-09,1,0.220792624054797,0.292733341415495,0.977815710875,0.000134137742412052,0.000138491328817409,0.999999995174279,0.977815710875,0.0476203318614807,0.93439946975,1.0219694075,TRUE,0.0165660449395163,0.969532688405242,FALSE,FALSE,0.998682374353214,0.0547815433461089,0.878398063888044,1.06748720915932,1,975.5,1315,0.97047067287522,0.000392632959904464,988,771,230,428,154,409.732798245609,341,0.86694314843615,0.96040117586028,0.851391048902713,0.655434594781407,0.920940566561748,0.971486761710794,0.960933160525829,1,0.961356051291059,0.905431834229998,0.4248,0.6144,0.651766829472013
"CPAR2_109530",3163.55823213029,1.3683948192158,1.33641876649535,0.16442817933008,6.7521953998965e-15,0.30452335830217,0.00417346992781157,0.324568488799633,1.3742828026875,0.000176150079820172,0.000179967699784799,0.112263808212957,1.3742828026875,0.211040819903081,1.12720355275,1.583670854,TRUE,0.0378640361921545,1.35535078459142,FALSE,TRUE,1.36150202632888,0.0601184274267696,1.25370984553509,1.46926901429588,1,539.5,699,1.34389610425898,0.000161852580815167,515,375,74,189,188,219.350169323648,168,0.935372386383273,0.98737679405153,0.791083462934163,0.921202695697252,0.965191631179411,0.965376782077393,0.92019996296982,1,0.98331284033023,0.941012950624786,0.4044,0.6422,0.635924523823386
"CPAR2_102080",2249.85643505442,1.739441546735,1.72679437967752,0.112631590352351,5.35133022741579e-51,7.15920037882894e-09,8.92950649492047e-12,0.0673153790206971,1.59101921025,0.00124843887768018,0.00142058773784186,0.264574896102947,1.59101921025,0.509713637968892,0.85031379825,1.98393285975,TRUE,0.135775169427525,1.65890679496376,FALSE,TRUE,1.74244754887891,0.0278859000426596,1.69200249374312,1.77007862231446,1,293.5,339,1.71130461052719,5.23291054035619e-06,270,184,9,139,604,130.285224931249,89,0.968377397615345,0.998616634964551,0.991532745809573,0.885951270088129,0.974449176078504,0.888354008516941,0.719311238659508,1,0.998770419813806,0.93615143239404,0.396,0.5552,0.629285308902091
"CPAR2_502980",1941.33131258214,1.78054680561281,1.77357404154058,0.084423172612321,5.59577198286524e-95,1.12702676553429e-17,4.59187294914165e-21,0.0172780123380306,2.084433594375,0.000232091727912611,0.000277944232626093,0.00945269358167256,2.084433594375,0.406782346100728,1.59736484375,2.4361954865,TRUE,0.310859552834421,1.92900381795779,FALSE,TRUE,1.78156878409783,0.0149400728892788,1.75545361771365,1.80545258505434,1,285.5,322,1.75261451495536,1.402426507491e-06,259,176,1,82,210,60.1130987439262,25,0.969759806462761,1,1,0.8627959218939,0.98500277726347,0.960933160525829,0.422699500092575,1,0.999121728438433,0.91114587718633,0.2958,0.3948,0.543874985635486
"CPAR2_103400",3577.25981157581,2.36567360943555,2.31055158253858,0.257474153482756,4.62948109570649e-18,9.35506611661771e-06,2.14732389933451e-08,0.0530740399887129,2.302618140375,9.82853951516085e-06,9.98450047050812e-06,0.000114655993253741,2.302618140375,0.0926535302585671,2.21565658175,2.40833468625,TRUE,0.00793344216358083,2.30658486145679,TRUE,TRUE,2.33467193419678,0.114267398732688,2.16960845130492,2.54326522137851,1,142,184,2.3344659436381,5.71676987136087e-05,128,94,50,70,20,60.9659257259249,27,0.983929497148782,0.991526889157877,0.306203559702782,0.931052358735096,0.987224588039252,0.996296982040363,0.982225513793742,1,0.991041630072018,0.90772233540999,0.2634,0.351,0.513225096814254
"CPAR2_206900",19639.4220733383,1.70812865119216,1.69990262527281,0.0859902012763721,2.40107484594447e-84,5.77015325104427e-14,4.23169612495864e-17,0.0356917881282205,2.2780583613125,7.92562891867498e-05,8.79722584974641e-05,0.00181812630096022,2.2780583613125,0.320860365801772,1.8484274665,2.549860795,TRUE,0.578155736039687,1.98898049329266,FALSE,TRUE,1.71146208252894,0.0174929087357527,1.68586858702685,1.73890033032223,1,307.5,354,1.68034120982081,1.71043893831173e-05,289,190,2,71,116,61.8414345510867,28,0.967340590979782,0.999827079370569,0.999827198894073,0.993433557974771,0.98703943714127,0.978707646732087,0.176078503980744,1,0.996135605129106,0.899821068911378,0.1908,0.2706,0.436806593356831
"CPAR2_205940",7107.67373731569,-0.721305139168688,-0.699365020024836,0.120543967606839,4.26093215258731e-08,1,0.673416078743116,0.143843410112998,-0.7539039639375,0.000709193418414905,0.000728989909057005,0.999999995174279,-0.7539039639375,0.131618738007298,-0.88350701225,-0.61841415125,TRUE,0.0545389439126637,-0.726634491981168,FALSE,FALSE,-0.719248875381734,0.0390863916991881,-0.799288380833427,-0.673194451415072,1,1704,2009,-0.74662677745031,0.00312965141245375,1549,1321,296,734,425.5,716.751010915493,627,0.771902540176257,0.948988414317828,0.978918265076896,0.970969414204251,0.8642843917793,0.920755415663766,0.885576745047214,1,0.891621289302652,0.914779608396463,0.1776,0.3788,0.42142615011411
"CPAR2_400570",1919.19423747271,2.45635826509518,2.44080500569425,0.143675181229784,2.27450917546017e-62,2.20156196012582e-21,1.38847806840908e-24,0.15360225115175,2.145010776125,2.65273162502429e-05,2.78994747861906e-05,0.000490779869890507,2.145010776125,0.182432864474854,1.9242391185,2.33051718125,TRUE,0.295794229569245,2.29290789090962,TRUE,TRUE,2.46953137107861,0.0395930493190185,2.39042464592391,2.51127151155947,1,128.5,160,2.42711876573093,7.58172391405255e-07,114,80,4,76,53,42.9960796069324,16,0.986348712631761,0.999481238111707,0.903749783998618,0.860203905304994,0.986113682651361,0.990372153304944,0.446583965932235,1,0.99947303706306,0.908036275444298,0.176,0.3266,0.419523539268061
"CPAR2_401990",261.016008217419,1.104917924098,1.06594934227039,0.170802462525797,2.49206670722152e-09,1,0.11083743768818,0.2421171904911,1.0431856496875,0.000162995803114163,0.000170803475738629,0.999999995174279,1.0431856496875,0.106934804805594,0.9104227995,1.13046924525,TRUE,0.0227636925828918,1.05456749597895,FALSE,TRUE,1.09831202664808,0.0523510339116847,1.04198965267653,1.20665949746244,1,817,980,1.08078943582601,0.000318198050935839,815,620,229,367,182,378.115470314369,310,0.893036115431139,0.960574096489711,0.746673578710904,0.282875410402627,0.932234771338641,0.966487687465284,0.948528050361044,1,0.966274372035833,0.855187120248354,0.134,0.4084,0.366060104354463
"CPAR2_211730",1136.57341089351,1.22143081760645,1.19346929928347,0.148952405434979,1.80358658016969e-14,0.996386512294137,0.0228013017290386,0.530851135853101,1.2804589853125,0.000222670422204111,0.000228473503519107,0.308554370416154,1.2804589853125,0.204980401210613,1.10698054575,1.512970236,TRUE,0.0869896860290316,1.23696414229798,FALSE,TRUE,1.22776528006944,0.0616592930042233,1.06447169894151,1.29436904594545,1,668.5,832,1.19217799402057,0.000103968056445816,662,489,77,225,205,258.296660104409,196,0.915673060307586,0.986858032163237,0.879212026956973,0.750475203041299,0.958526198852064,0.962229216811701,0.821699685243473,1,0.988582469699631,0.918139543675107,0.1334,0.5112,0.365239647354993
"CPAR2_101020",7842.12114393865,0.588286580095548,0.568953360072428,0.11488589125661,3.6696895647777e-06,1,0.776243330633732,0.0492390576571773,0.56024945575,0.00471288503805765,0.00479691973887602,0.999999995174279,0.56024945575,0.213958737740936,0.25998193975,0.74068727625,TRUE,0.00870390432242818,0.564601407911214,FALSE,FALSE,0.588168742769457,0.0286486838678027,0.548294946719735,0.623317307911135,1,2215.5,2368,0.561693409219313,0.0107504003887444,2191,1762,480,1181,1246,1222.16964171961,1194,0.695697252462416,0.917171018502507,0.987903922585105,0.975462242958355,0.781521940381411,0.76948713201259,0.979263099426032,1,0.807834182329176,0.879371198961955,0.1284,0.231,0.358329457343378
"CPAR2_603010",194.906785513256,-2.61515191379455,-2.38623287756331,0.538810372302123,1.25469053257767e-05,0.0570209081500671,0.00142298848449975,1.77597938984762,-2.38606353325,7.23843245311027e-06,7.38460257082469e-06,8.16825689942382e-05,-2.38606353325,0.0670325714537073,-2.476348382,-2.326666769,TRUE,0.000169344313307285,-2.38614820540665,TRUE,TRUE,-2.5932978766936,0.422310807909321,-3.77098511490402,-2.30740814101837,1,110,174,-2.59136877814131,0.00516785030325603,95,82,559,65,13.5,82.4972132079051,44,0.986003110419907,0.903510288777451,0.0651460169345084,0.213754968031795,0.988150342529161,0.99703758563229,0.999814849102018,1,0.865800105392587,0.779913029646635,0.1076,0.1734,0.328024389337135
"CPAR2_405900",2085.95501377219,2.32664108660972,2.30189922806386,0.176937577348957,9.00716868276495e-37,1.34068909264969e-11,9.66639669526649e-15,0.162273074895327,2.434007941875,3.4199976369303e-05,3.50399001286732e-05,0.000449101317319436,2.434007941875,0.253219342688957,2.12056448725,2.71394444625,TRUE,0.132108713811145,2.36795358496943,TRUE,TRUE,2.30568750472961,0.0635380338600068,2.24397926503933,2.44862241618574,1,156,175,2.3018059207325,6.38981099688453e-06,135,95,11,63,62,56.0062454749417,21,0.983756696042855,0.998270793705689,0.709866943148436,0.874373595991014,0.988520644325125,0.988705795223107,0.724125162007036,1,0.998594765501493,0.918468266216084,0.105,0.2944,0.324037034920393
"CPAR2_202290",1254.53657754117,-0.626646430160011,-0.597219369170527,0.140251000955927,6.63745190861637e-05,1,0.708950720127182,0.220214969797043,-0.6002070659375,0.00124171561540072,0.00127343545030801,0.999999995174279,-0.6002070659375,0.105813174987671,-0.7180919935,-0.49106438825,TRUE,0.00298769676697264,-0.598713217554014,FALSE,FALSE,-0.617408087352891,0.0450579023229372,-0.726872239959574,-0.574877006370048,1,2026,2198,-0.655127289842827,0.00344860120738363,1848,1645,687.5,1079,603,1063.39806494894,1017,0.715914981855884,0.88120352758084,0.916537065837221,0.772075341282184,0.80040733197556,0.888539159414923,0.993704869468617,1,0.887054277182505,0.872826283844193,0.0988,0.227,0.314324672910034
"CPAR2_110100",1005.39545654134,0.664475712500781,0.6418621358703,0.123379175246306,1.01837441207188e-06,1,0.711862940334531,0.0954265357293824,0.6025501004375,0.0012764740921197,0.001311815107886,0.999999995174279,0.6025501004375,0.110745669759243,0.45625665775,0.71365898975,TRUE,0.0393120354327998,0.6222061181539,FALSE,FALSE,0.663669476331664,0.0321216744814126,0.621470876069038,0.719845881925276,1,1855.5,2103,0.639697848245454,0.00192743994648134,1898,1485,410,1072,616,947.362965497601,880,0.743563158804216,0.929275462562684,0.972524624157595,0.716778987385519,0.801703388261433,0.885761895945195,0.916867246806147,1,0.91392938696645,0.875600461209916,0.0876,0.2756,0.295972971738975
"CPAR2_503760",1023.05415163292,-0.854437690506453,-0.820125849848668,0.152408649940971,3.35023437521378e-07,1,0.431881934250898,0.208407681184779,-0.8140199270625,0.00811760772691039,0.00902870307857875,0.999999995174279,-0.8140199270625,0.42911511390595,-1.2187002605,-0.364749296,TRUE,0.00610592278616739,-0.817072888455584,FALSE,FALSE,-0.869016522106407,0.0443823547474751,-0.907449795376998,-0.776792925929393,1,1269.5,1610,-0.879170239037661,0.000836849202012212,1185,1016,357,625,1538,837.960072074546,772,0.824606877484016,0.938440255922532,0.860031104199067,0.721963020563332,0.884465839659322,0.715423069801889,0.986113682651361,1,0.945547163182856,0.875176779273819,0.0484,0.1508,0.22
"CPAR2_402940",7717.69774272443,2.9537197188318,2.92063041784101,0.227467526568079,6.60169555512478e-36,3.62432529374693e-15,2.70461955493192e-18,0.116256201682653,2.8130601236875,5.78579591675817e-05,7.56758030471743e-05,0.00064952940769902,2.8130601236875,0.382798103496457,2.45009506075,3.196770616,TRUE,0.107570294153511,2.86684527076426,TRUE,TRUE,2.90185824116362,0.0867136051405321,2.86214351198522,3.10251562084013,1,70,96,2.92179775408019,9.57573469560794e-06,65,41,13,40,102,42.6638600193741,15,0.993087955762917,0.997924952446827,0.427855538275445,0.97459823742872,0.992779114978708,0.980744306609887,0.774671357156082,1,0.998243456876866,0.904433879948384,0.0438,0.1072,0.209284495364564
"CPAR2_807400",49594.4220533465,1.86386023331443,1.76328876422883,0.336898696366766,4.92448284795755e-07,0.154980572196647,0.002494922348486,2.40089276310007,1.744036057625,0.00032306467473114,0.000386406924858514,0.0354282661664276,1.744036057625,0.367896934884246,1.3434257785,2.0740293255,TRUE,0.0192527066038266,1.75366241092691,FALSE,TRUE,1.86049429669902,0.129060688130714,1.72086598099214,2.15110800197805,1,258,344,1.82857051920026,0.00209533250037681,230,179,371,113,263,214.485428927398,164,0.96924140314498,0.936019367110496,0.157076205287714,0.998099187834802,0.979263099426032,0.950749861136826,0.956304388076282,1,0.910416300720183,0.873018868081924,0.0306,0.0878,0.174928556845359
"CPAR2_603610",7156.49773295263,3.53961330477205,3.5200832579556,0.218039946409672,2.40414876920866e-56,2.27868369245102e-28,1.78612760386801e-31,0.0751133689806717,3.381963484125,0.000151711211358332,0.000179967699784799,0.0013685012749513,3.381963484125,0.614884815234647,2.635126365,3.89836623425,TRUE,0.138119773830595,3.4510233710403,TRUE,TRUE,3.50925774840643,0.088414633988315,3.4187009004933,3.68333246629334,1,32.5,53,3.50970633915796,1.402426507491e-06,30,11,7,15,163,22.4067138877831,2,0.998271988940729,0.998962476223413,0.471228615863142,0.971660618627959,0.997407887428254,0.969635252730976,0.715793371597852,1,0.999121728438433,0.902453548872307,0.021,0.066,0.144913767461894
"CPAR2_109030",365.316586880656,1.41942407386742,1.40295254648974,0.119321312551781,4.23370575638942e-30,0.0129732742908958,3.78175473653534e-05,0.0275725797945756,1.062330924375,0.00189881737034163,0.00215975648043528,0.999999995174279,1.062330924375,0.366847464757749,0.69699487775,1.381125497,TRUE,0.340621622114738,1.23264173543237,FALSE,TRUE,1.41505360738479,0.020808589818404,1.38763257324078,1.44600501274077,1,504,562,1.38696283684088,9.70122585571907e-06,480,330,17,357,784,237.376474525215,180,0.943148436149991,0.997233269929103,0.98168308277173,0.378952825298082,0.93408628031846,0.855026846880207,0.388816885761896,1,0.996662568066046,0.830623355019502,0.02,0.1366,0.14142135623731
"CPAR2_103000",1615.11897751523,1.61838132964822,1.60232266171296,0.123361729249012,1.23549757454512e-36,3.52679376583996e-05,6.07440199746049e-08,0.0955607611078402,0.9875965451875,0.000823497813176906,0.000835302398368999,0.999999995174279,0.9875965451875,0.242679066425269,0.70134891825,1.201446131,TRUE,0.614726116525463,1.29495960345023,FALSE,TRUE,1.6128523851768,0.0330238871770907,1.57209975937696,1.67442325311543,1,365,442,1.59099555828371,9.29950500690419e-06,339,224,12,418,474,178.367907389429,131,0.961465353378262,0.998097873076258,0.972697425263522,0.830309313979609,0.922792075541566,0.912238474356601,0.160896130346232,1,0.99841911118918,0.861879528570137,0.0184,0.125,0.135646599662505
"CPAR2_102090",1382.81501745612,0.635567039919998,0.614155747652746,0.114377279319653,4.34319811773143e-07,1,0.752415306638699,0.110887532473183,0.7662995973125,0.00032765169484135,0.000339413287550971,0.999999995174279,0.7662995973125,0.048742069833527,0.709497335,0.82744131325,TRUE,0.152143849659754,0.690227672482623,FALSE,FALSE,0.634885272447251,0.0335088955544244,0.566155455413308,0.692413944828129,1,1943.5,2322,0.606571288176384,0.002491324919341,2041,1582,366,712,274,745.679536720248,662,0.72680145152929,0.936883970257652,0.988940729220667,0.795057888370486,0.868357711534901,0.948713201259026,0.688205887798556,1,0.903038819603021,0.872888851063733,0.0142,0.0806,0.11916375287813
"CPAR2_406210",181.283551275475,3.55173841585973,3.15708763800228,0.81811865719423,0.000111287570366552,0.0406782862376893,0.00103195860559732,0.0898742910530695,3.110792082375,7.55719496765866e-05,9.84818199672229e-05,0.000670162470819624,3.110792082375,0.461465106463603,2.5896172755,3.51752565675,TRUE,0.0462955556272782,3.13393986018864,TRUE,TRUE,3.45188135180789,0.267600973842813,3.19813576164445,3.93802659901414,1,34,73,3.47576763620099,0.00302520286554516,32,27,736,25,114.5,71.125840320707,36,0.995507171245896,0.872903337368148,0.0307585968550199,0.200103680663556,0.995556378448435,0.978892797630069,0.904091834845399,1,0.893377832425786,0.763465736609146,0.012,0.0338,0.109544511501033
"CPAR2_200290",2881.00168274076,-1.5943812284341,-1.56226565504683,0.169719175710411,7.24722935715887e-19,0.0134822030745184,6.93776974687964e-05,0.355196533159445,-1.43510889675,5.0167156662639e-05,5.28992602178018e-05,0.0175599232669894,-1.43510889675,0.108025488330665,-1.55484165775,-1.293002954,TRUE,0.127156758296825,-1.49868727589841,FALSE,TRUE,-1.60806066605622,0.0700500692081332,-1.72116176561613,-1.47613900511834,1,378.5,480,-1.61833176114489,8.84530306058279e-05,322,245,46,173,89,141.072765320068,99,0.957836530153793,0.992218571675601,0.753585622947987,0.913772248142388,0.968154045547121,0.983706720977597,0.735604517681911,1,0.988933778324258,0.921534670605628,0.0076,0.2348,0.0871779788708135
"CPAR2_205920",1167.22448669001,-0.571417917545677,-0.532617618994147,0.148833789931608,0.000716521557613774,1,0.73334264162586,0.435709160129163,-0.540985222125,0.00138337500695131,0.00142058773784186,0.999999995174279,-0.540985222125,0.0764377008345885,-0.6168883245,-0.4351513995,TRUE,0.00836760313085327,-0.536801420559573,FALSE,FALSE,-0.562850798827919,0.0612582686334271,-0.718032552849049,-0.478833857389683,1,2256.5,2749,-0.601062053944729,0.00645191395676038,2057,1908,996,1245,656,1261.33090894462,1247,0.670468290997062,0.827943973716064,0.879903231380681,0.758251252808018,0.769672282910572,0.878726161821885,0.981114608405851,1,0.848585982785877,0.846073976091779,0.0072,0.0472,0.0848528137423857
"CPAR2_802240",408.763106585774,3.52268496828105,3.50436081293094,0.183325130287928,5.29331363407038e-79,1.27004706617487e-39,1.31702145731158e-42,0.0325897274706144,1.7372641938125,4.14330449199764e-05,4.36553403496123e-05,0.0027709217266569,1.7372641938125,0.155768152454566,1.56005304325,1.931922298,TRUE,1.76709661911844,2.62081250337172,TRUE,TRUE,3.52009296390504,0.0624494579253621,3.42196490675703,3.61228097126308,1,33,54,3.48967394776447,1.14736328392054e-07,31,13,3,115,74.5,25.2962463944999,6,0.997926386728875,0.999654158741138,0.6694314843615,0.416969068602039,0.978892797630069,0.986298833549343,0.0155526754304758,1,1,0.784969489449271,0.0068,0.0246,0.0824621125123532
"CPAR2_205030",2023.72619836883,1.17955282834066,1.16624690327746,0.101932852765489,1.74212746581517e-28,0.686822082386207,0.0112485013570686,0.0534324485585822,0.70261272775,0.00297246628477787,0.00301001502171348,0.999999995174279,0.70261272775,0.248561510177626,0.488406008,0.95254488825,TRUE,0.463634175527461,0.93442981551373,FALSE,TRUE,1.18230692020157,0.0216695885113013,1.14582821711041,1.22143744373534,1,750,814,1.15281411135385,4.50304914188236e-05,707,518,19,838,979.5,355.918241239919,287,0.910661828235701,0.99688742867024,0.997753585622948,0.870226369448765,0.845028698389187,0.818552119977782,0.257174597296797,1,0.991919901633585,0.854244947697223,0.0064,0.064,0.08
"CPAR2_401550",854.323877212523,2.2129121394925,2.13845819474474,0.29767177010909,5.03389168799747e-12,0.00177688465773252,9.4998456793335e-06,0.339677946504547,2.0578393143125,4.16614757203023e-05,4.36553403496123e-05,0.001238207956416,2.0578393143125,0.219374231177186,1.82097219675,2.342512422,TRUE,0.080618880432239,2.09814875452862,TRUE,TRUE,2.16809878264946,0.126202379465961,2.008016143404,2.41744251371512,1,175.5,243,2.17709409616842,0.000194454021994019,155,114,121,84,79,107.247125163246,69,0.98047347503024,0.979249524468269,0.214618973561431,0.670122688785208,0.984632475467506,0.985187928161452,0.835400851694131,1,0.979448445459336,0.847681595847508,0.006,0.056,0.0774596669241483
"CPAR2_101620",9248.85216861561,2.18383653461772,2.16118092122633,0.164973164406148,3.0814299956079e-37,1.29805994111705e-10,1.49369492616987e-13,0.0591872794532743,1.9975937505625,0.00103691354954946,0.00120072830290123,0.0674771706525395,1.9975937505625,0.617889408866602,1.35667131525,2.596560336,TRUE,0.163587170663835,2.07938733589442,TRUE,TRUE,2.18603564592577,0.0637312955992105,2.06570232779826,2.29036381421834,1,181.5,217,2.15479313731735,9.70122585571907e-06,158,111,10,87,540,96.2007849410984,57,0.980991878348021,0.99844371433512,0.787281838603767,0.979955071712459,0.98407702277356,0.900018515089798,0.665617478244769,1,0.996662568066046,0.921449787463727,0.0058,0.0812,0.0761577310586391
"CPAR2_502100",925.009410338783,1.26285201614222,1.20001769920887,0.223385778606545,2.662956423858e-07,1,0.045936086058733,0.140762287789803,1.1769135468125,0.000102484260292183,0.000104063536544214,0.539574319759857,1.1769135468125,0.101822675521235,1.0949555025,1.32360714975,TRUE,0.0231041523963704,1.18846562301069,FALSE,TRUE,1.25370933153613,0.0942410337393965,1.07595122497493,1.41650953145036,1,647.5,918,1.23855685992266,0.000923410900210865,614,483,341.5,273,131,324.9286682198,256,0.916709866943148,0.941034065363998,0.446518057715569,0.694487644720926,0.949638955748935,0.975189779670431,0.946861692279208,1,0.942561039873529,0.868111233590638,0.0054,0.1268,0.0734846922834953
"CPAR2_700190",2333.73843590069,0.426470802107985,0.399246612051548,0.121589892047035,0.00213964810545331,1,0.829319609246978,0.117585042442705,0.382128436625,0.00763941594510595,0.00777548530565947,0.999999995174279,0.382128436625,0.125080501281756,0.22339783275,0.518328637,TRUE,0.0171181754265482,0.390687524338274,FALSE,FALSE,0.422751716740154,0.0357434374015151,0.381257945809402,0.4948594826622,1,2954,3137,0.400270452009945,0.031216536872948,2976,2556,1223,1976,1499,1941.072520105,2009,0.558493174356316,0.788690990835207,0.976844651805772,0.890962502160014,0.634326976485836,0.722088502129235,0.959637104239956,1,0.686632706832953,0.801964067649476,0.004,0.0246,0.0632455532033676
"CPAR2_211620",527.182206782414,-0.415091834337871,-0.390087760288435,0.138367775369099,0.00934789280334068,1,0.811806872836888,0.21108649913688,-0.3909391455625,0.00600885741584095,0.0061532609072309,0.999999995174279,-0.3909391455625,0.109597697480335,-0.49560269425,-0.24175334825,TRUE,0.000851385274065419,-0.390513452925467,FALSE,FALSE,-0.413053289459222,0.0445724859282998,-0.514168337437245,-0.348134214871252,1,2979,3438,-0.440725625844826,0.0208397268561568,2756,2616,1670.5,1933,1369,1998.38769554842,2090,0.548125108000691,0.711222548850078,0.924140314498013,0.505097632624849,0.642288465099056,0.74652842066284,0.998148491020181,1,0.736869840154576,0.756935646767809,0.003,0.0172,0.0547722557505166
"CPAR2_100710",385.891355558376,3.04189477865739,2.94335352120359,0.394597468230577,7.72932768938568e-13,1.73798949319834e-05,4.76315697586634e-08,0.703525650137338,3.071622491875,3.62610849207076e-05,4.36553403496123e-05,0.000281616641872258,3.071622491875,0.353629316519195,2.77009459175,3.462871362,TRUE,0.128268970671407,3.0074880065393,TRUE,TRUE,3.06066467176031,0.199270456805792,2.61925955117223,3.31836653407155,1,60,130,3.00435383946012,0.000201794561855218,61,39,95,27,65,52.441974333168,19,0.993433557974771,0.983745460833477,0.107827890098497,0.396924140314498,0.995186076652472,0.988150342529161,0.733382706906129,1,0.978745828210083,0.797488444835454,0.0028,0.0226,0.0529150262212918
"CPAR2_804060",77357.7256467079,2.36229537019748,2.28447169503177,0.327175445674589,2.04147999345565e-11,0.00131181487505144,5.92395824329255e-06,0.469837465907065,2.3466824240625,0.000367555941694028,0.000433009014807186,0.0107592518874163,2.3466824240625,0.538158232158402,1.790431064,3.02917446325,TRUE,0.0622107290307281,2.31557705954714,TRUE,TRUE,2.36005677131904,0.131433772170499,2.16711333740797,2.65546539005901,1,145,197,2.32586054104895,0.000450019961064962,131,97,147,68,285.5,129.388321204524,88,0.983411093831001,0.974753588103061,0.165889061689995,0.999135994470365,0.987594889835216,0.947231994075171,0.872060729494538,1,0.959775162480239,0.876650279331065,0.0026,0.032,0.0509901951359278
"CPAR2_801890",2117.56218475796,-0.681028017589794,-0.641566536624809,0.161781290014381,0.000184976777861767,1,0.637067107374133,0.417094969146463,-0.6466023563125,0.00180402558043195,0.00184500508035347,0.999999995174279,-0.6466023563125,0.171451966473327,-0.866102547,-0.50065678675,TRUE,0.00503581968769073,-0.644084446468655,FALSE,FALSE,-0.693754754089631,0.0592126268593392,-0.769196384323692,-0.552594465624562,1,1764.5,2406,-0.711647235409763,0.0048888940942389,1652,1487,800.5,965,765,1077.39317294966,1037,0.743217556592362,0.861663496455127,0.808363573526871,0.875756004838431,0.821514534345492,0.858359563043881,0.989261247917052,1,0.869488845951168,0.86973609140782,0.0022,0.0452,0.0469041575982343
"CPAR2_402580",705.523730871863,-0.285104261098232,-0.274774373784788,0.0979980587815881,0.0119186166507556,1,0.859432628552277,0.0231826538510616,-0.289441922125,0.0192685623124858,0.0196362554055868,0.999999995174279,-0.289441922125,0.11772263402598,-0.388356362,-0.15080645825,TRUE,0.0146675483402116,-0.282108147954894,FALSE,FALSE,-0.288658880905843,0.017619856372075,-0.317280012004923,-0.260681027076919,1,3749,3868,-0.315180070358024,0.0311865697502115,3452,3343,1758,2557,2068,2547.42530956866,2800,0.422498703991706,0.696178454089573,0.998963193364438,0.60791429065146,0.526754304758378,0.617293093871505,0.965006480281429,1,0.686808361145266,0.724601875794862,0.002,0.0094,0.0447213595499958
"CPAR2_213350",167.742316132511,-0.647442042206902,-0.608111414106525,0.162389221140578,0.00042210328011134,1,0.665253141535192,0.133047159213016,-0.600621593375,0.000916067732519691,0.000940887171607819,0.999999995174279,-0.600621593375,0.0710666633262149,-0.69367326975,-0.52349535525,TRUE,0.00748982073152549,-0.604366503740763,FALSE,FALSE,-0.653673491546786,0.0401360126041872,-0.729122282745197,-0.572080857386081,1,1947.5,2206,-0.680488993923557,0.00673275092472012,1753,1601,917,1078,512,1072.7197118301,1032,0.723518230516675,0.84160470344112,0.805253153620183,0.185242785553828,0.800592482873542,0.905387891131272,0.983336419181633,1,0.84401897066573,0.787661626331554,0.0018,0.0414,0.0424264068711929
