"gene","baseMean","log2FoldChange","shrunkLFC","lfcSE","padj","effectTestPadj","svalue","maxCook","array_logFC","array_FDR_standard","array_FDR_robust","array_FDR_treat","array_mean","array_sd","array_min","array_max","direction_same","platform_difference","mean_effect","practical_selected","modern_strong","loo_medianLFC","loo_sdLFC","loo_minLFC","loo_maxLFC","loo_propFDR05","loo_medianRank","loo_worstRank","edgeR_logFC","edgeR_FDR","edgeR_rank","rank_DESeq2_effect","rank_DESeq2_FDR","rank_array_effect","rank_array_FDR","rank_product","rank_product_rank","score_effect","score_significance","score_precision","score_abundance","score_array_effect","score_array_significance","score_platform_agreement","score_loo","score_edgeR","stat_score","P_top5_weights","P_top10_weights","combined_robustness"
"CPAR2_106180",433.467064613129,-0.712821112769818,-0.585621619452572,0.290399467375317,0.0362386592001358,1,0.49519418316654,0.147328921290736,-1.027732475,0.0016525117069473,0.00178845235345063,0.999999995174279,-1.027732475,0.335068024434171,-1.33091217375,-0.61365731825,TRUE,0.442110855547429,-0.806677047226286,FALSE,FALSE,-0.714010190501318,0.0952236398288883,-0.854320968084295,-0.573241717058338,0.3,1657.5,2187,-0.738460377253388,0.0484358136815211,1574,1697,2251,383,721,1106.72372684659,1068,0.706929324347676,0.610928583780045,0.230862277518576,0.438914809054778,0.929272356970931,0.866691353453064,0.275319385299019,0.3,0.627085894958721,0.554000442820312,0,0,0
"CPAR2_204310",842.167065660068,-0.485084393265198,-0.422369380057524,0.211914634497856,0.0520751511201859,1,0.702843680268418,0.641872450261978,-1.2223349420625,0.00373076345638628,0.00420101466739856,0.999999995174279,-1.2223349420625,0.534481996015045,-1.697194585,-0.68013345225,TRUE,0.799965562004976,-0.822352161060012,FALSE,FALSE,-0.4781997770379,0.0767787501415389,-0.590188482801045,-0.324364428217461,0.2,2636,3456,-0.511614544451774,0.052435864696476,2392,2411,2452,248,1108.5,1311.99822040676,1314,0.583549334715742,0.576171537264396,0.504924831518922,0.66649386556074,0.954267728198482,0.794112201444177,0.0899833364191816,0.2,0.614614438784472,0.55379080821179,0,0,0
"CPAR2_601120",419.533422871183,0.895279537587403,0.742079183048772,0.323472324264263,0.0173399032154522,1,0.345384692795321,0.201657177600565,-0.4034268038125,0.00512527456262462,0.00523379736951685,0.999999995174279,-0.4034268038125,0.105188425754613,-0.52755071475,-0.30862034775,FALSE,1.14550598686127,0.169326189618136,FALSE,FALSE,0.913443318696984,0.130513758592823,0.663506863948375,1.13410537382122,0.8,1171,1821,0.876519047654945,0.0387879471088064,1191,1203,1883,1863,1285,1452.20771038555,1454,0.792293070675652,0.674563375410686,0.170036288232245,0.427509936063591,0.655249027957786,0.762266246991298,0.0418441029438993,0.8,0.659933251361321,0.553743922181831,0,0,0
"CPAR2_803590",832.648642208928,-1.12512433098436,-0.992829196102299,0.306820979271238,0.00128884368867262,1,0.181434680852917,3.39147358631593,-0.203457379875,0.521375631279815,0.527694148583906,0.999999995174279,-0.203457379875,0.685976455515658,-0.7711844855,0.7946988425,TRUE,0.789371816227299,-0.598143287988649,FALSE,FALSE,-1.10706548436475,0.198583668447939,-1.65463722429118,-0.946997217434939,1,822.5,1153,-1.14873989078769,0.0116326687269363,715,724,1101.5,3278,4594.5,1537.35888770383,1550,0.875064800414723,0.809614386996369,0.198030067392431,0.663383445654052,0.39326050731346,0.149416774671357,0.0929457507868913,1,0.798348849464254,0.553340509188171,0,0,0
"CPAR2_103840",203.154034942388,0.697618028864759,0.577267205496393,0.288390938911636,0.0393261175484174,1,0.510518151467276,0.0990869552152069,0.481965180875,0.00954995516334237,0.0096922333861499,0.999999995174279,0.481965180875,0.227560274241433,0.171112567,0.671066207,TRUE,0.0953020246213933,0.529616193185697,FALSE,FALSE,0.696365307618334,0.126106877881073,0.494089928409684,0.88611162019065,0.4,1798.5,2519,0.676172278396655,0.0640616313318949,1771,1726,2289,1483,1616.5,1757.61763350228,1802,0.701918092275791,0.604357599861663,0.235009504060826,0.221531017798514,0.725606369190891,0.700796148861322,0.802629142751342,0.4,0.58686105743896,0.553189881359923,0,0,0
"CPAR2_503460",129.51945552337,-0.473724453352899,-0.412408306417831,0.212996515316002,0.0596001944173792,1,0.706088150514706,0.399118124029776,-0.418393914375,0.00513045498139644,0.00523454405617288,0.999999995174279,-0.418393914375,0.119163636245336,-0.5486454175,-0.26871250525,TRUE,0.00598560795716924,-0.415401110396415,FALSE,FALSE,-0.466672878407083,0.0674598077485782,-0.567728728658613,-0.330511885239103,0.2,2705.5,3412,-0.496782803996345,0.0648055466182751,2457,2480,2537,1796,1286.5,2044.46031780136,2148,0.571626058406774,0.561473283762753,0.499395196129255,0.144980127872818,0.66765413812257,0.761895945195334,0.986483984447325,0.2,0.584577551378886,0.553120698368413,0,0,0
"CPAR2_800340",45.7254300883947,1.28825871990765,1.15326464465757,0.324475758772915,0.000446962169337848,1,0.0979028499477896,0.47826501434171,0.35648406025,0.0701198326895164,0.0723854344691474,0.999999995174279,0.35648406025,0.344920064289954,-0.011698854,0.708606193,TRUE,0.796780584407572,0.754874352453786,FALSE,FALSE,1.26484048343337,0.0921259689582671,1.18153691573656,1.44873517096528,1,635.5,748,1.25619937164964,0.00674745276273688,589,525,929,2120,2956,1124.77620612206,1087,0.909452220494211,0.839529655887947,0.168653879384828,0.0639364091930188,0.607665247176449,0.452879096463618,0.0910942418070728,1,0.843316353416476,0.552947455980402,0,0,0
"CPAR2_800090",1018.23263315957,-0.607569969143129,-0.5446675687034,0.206125790218494,0.010757950047793,1,0.64022201565968,0.727461164397715,0.1703966365625,0.130503959630707,0.131580510877783,0.999999995174279,0.1703966365625,0.158047933495163,0.020507095,0.349904784,FALSE,0.7150642052659,-0.18713546607045,FALSE,FALSE,-0.623186987826004,0.0879707875881822,-0.79432833412927,-0.498741013743821,0.8,2097.5,2660,-0.629412204318776,0.0250658644528237,1945,1853,1722,3605,3434,2382.90509796554,2574,0.679972351823052,0.702403596749092,0.5405218593399,0.720926213927769,0.332716163673394,0.364376967228291,0.118496574708387,0.8,0.715966976989285,0.552820078271019,0,0,0
"CPAR2_102700",1425.75548627736,0.436663359800578,0.37149853692711,0.228783090570388,0.111883391568673,1,0.709579584549323,1.23839441436655,0.630490372875,0.00244326930897911,0.00248219959069176,0.999999995174279,0.630490372875,0.192428844039163,0.46637834375,0.86341855075,TRUE,0.25899183594789,0.500994454901055,FALSE,FALSE,0.41134317911256,0.092546439159914,0.312735458356715,0.650771649691727,0.1,2951.5,3640,0.402990775003234,0.141565688516696,2961,2736,2911,992,910,1843.44402076556,1898,0.527388975289442,0.496800968355525,0.421289096250216,0.804216346984621,0.816515460099981,0.831697833734494,0.502869838918719,0.1,0.473739680309152,0.552724244438016,0,0,0
"CPAR2_304050",540.389187542283,0.437647950553011,0.415459640880252,0.129472080929566,0.00318537980555733,1,0.815234032188342,0.180880498920749,-0.040869755375,0.77086024581131,0.771285568027928,0.999999995174279,-0.040869755375,0.254235565643146,-0.2955222195,0.2025627575,FALSE,0.456329396255252,0.187294942752626,FALSE,FALSE,0.437562463480822,0.0403100813559056,0.347434102376243,0.503151091624974,1,2828.5,3441,0.406673557209624,0.0199642669602612,2937,2461,1314.5,4965,5029,2985.62602567565,3354,0.574909279419388,0.772782292927546,0.956799723518231,0.512873682391567,0.0809109424180707,0.069061284947232,0.262914275134234,1,0.742139469523977,0.552487883364472,0,0,0
